question,branch_id,expected_divisi,finetuned_divisi,confidence,fallback_used,latency_supervisor_sec,predicted_divisi,correct,latency_total_sec,agent,answer,n_sop_docs_preview,citation_present,n_sop_docs_full,avg_retrieval_distance,grounding_precision,coverage_recall,n_answer_facts,n_context_facts,n_overlap_facts,llm_judge_verdict,hallucination_method,hallucinated,error,run
Bahan apa yang paling kritis stoknya hari ini?,,inventory,inventory,0.42675748944270964,True,0.0028543472290039062,inventory,1,3.4139292240142822,Inventory,"Berdasarkan data aktual yang tersedia, bahan dengan sisa stok tinggi namun mendekati masa kedaluwarsa adalah Minyak Goreng di Savoria Malioboro dengan sisa 1 liter (1.4%) dan status KRITIS.

Sumber informasi: sop_inventory.txt",2,True,2,0.7737762629985809,1.0,0.26666666666666666,4.0,15.0,4.0,,fact_grounding,0.0,,3
Kapan bahan baku harus direstock?,,inventory,inventory,0.49367568506530096,True,0.0018148422241210938,inventory,1,4.035417318344116,Inventory,"Bahan baku harus direstock jika stok bahan baku berada di bawah 10% dari stok awal hari. Dalam kasus ini, karena stok bahan baku di semua cabang sudah mencapai 0%, maka bahan baku tersebut harus direstock dalam waktu maksimal 1x24 jam ke supplier terkait.

Sumber: SOP Inventory - Savoria Resto Group (sop_inventory.txt)",2,True,2,0.8307016491889954,1.0,0.2222222222222222,4.0,18.0,4.0,,fact_grounding,0.0,,3
Bagaimana cara mencegah bahan baku terbuang?,,inventory,general,0.33127818193444813,True,0.0012271404266357422,inventory,1,4.941428184509277,Inventory,"Untuk mencegah bahan baku terbuang, perlu dilakukan pengecekan stok bahan baku secara teratur dan dilaporkan ke Manajer Cabang jika sisa stok mendekati masa kedaluwarsa. Dalam kasus ini, bahan baku dengan sisa stok tinggi harus dilaporkan ke Manajer Cabang untuk dipertimbangkan promosi menu terkait guna mengurangi bahan yang terbuang.

Sumber informasi: SOP Divisi Inventory - Savoria Resto Group (sop_inventory.txt)",2,True,2,0.7891063094139099,,0.0,0.0,18.0,0.0,not_grounded,llm_judge,1.0,,3
Stok bahan baku mana saja yang statusnya waspada?,BR01,inventory,inventory,0.39995194484465096,True,0.0017197132110595703,inventory,1,4.616708517074585,Inventory,"Berdasarkan konteks SOP dan data aktual, stok bahan baku dengan status WASPADA adalah:

- Minyak Goreng di Savoria Malioboro: sisa 1 liter (1.4%)
- Daging Sapi di Savoria Malioboro: sisa 2 kg (2.1%)
- Ayam di Savoria Malioboro: sisa 3 kg (9.1%)

Sumber informasi: SOP Divisi Inventory - Savoria Resto Group dan data aktual per 2026-06-29.",2,True,2,0.7341052293777466,1.0,0.5909090909090909,13.0,22.0,13.0,,fact_grounding,0.0,,3
Apa SOP penanganan bahan baku yang mendekati kadaluarsa?,,inventory,inventory,0.48504500871772843,True,0.0014104843139648438,inventory,1,4.0779993534088135,Inventory,"SOP terkait penanganan bahan baku yang mendekati kadaluarsa adalah sebagai berikut:

Bahan baku dengan sisa stok tinggi namun mendekati masa kedaluwarsa harus dilaporkan ke Manajer Cabang untuk dipertimbangkan promosi menu terkait guna mengurangi bahan yang terbuang.

Sumber: SOP Inventory - Savoria Resto Group (sop_inventory.txt)",2,True,2,0.7173924446105957,,0.0,0.0,18.0,0.0,not_grounded,llm_judge,1.0,,3
Menu apa yang paling laris bulan ini?,,order,order,0.3458760417104323,True,0.0012793540954589844,order,1,3.176586389541626,Order,"Berdasarkan data aktual yang tersedia di SOP divisi order, menu yang paling laris bulan ini adalah Es Teh Manis dengan 6578 porsi terjual.

Sumber: sop_order.txt.",2,True,2,0.8420008420944214,1.0,0.11764705882352941,2.0,17.0,2.0,,fact_grounding,0.0,,3
Apa yang harus dilakukan saat jam sibuk?,,order,order,0.3488848464324211,True,0.0013616085052490234,order,1,3.572697877883911,Order,"Pada jam sibuk (pukul 11.00-14.00 dan 18.00-21.00), setiap cabang wajib menambah minimal 1 staf kasir/dapur ekstra untuk menjaga SLA 15 menit tetap terpenuhi.

Sumber: SOP_order.txt",2,True,2,0.8128782212734222,1.0,0.2857142857142857,6.0,21.0,6.0,,fact_grounding,0.0,,3
Bagaimana urutan prioritas pesanan online vs offline?,,order,order,0.4042429958145913,True,0.0019681453704833984,order,1,4.350525140762329,Order,"Urutan prioritas pesanan adalah berdasarkan waktu masuk, yaitu First-In-First-Out (FIFO). Pesanan disusun berdasarkan waktu masuk, tidak berdasarkan kanal. Dilarang mendahulukan pesanan online di atas pesanan dine-in yang sudah masuk lebih dulu, kecuali ada indikasi keterlambatan pengambilan oleh kurir online yang berisiko dibatalkan sistem.

Sumber: SOP_order.txt",2,True,2,0.7483443915843964,,0.0,0.0,15.0,0.0,not_grounded,llm_judge,1.0,,3
Bagaimana distribusi kanal pemesanan di cabang ini?,BR01,order,order,0.2572762658715456,True,0.002294778823852539,order,1,3.4076995849609375,Order,"Distribusi kanal pemesanan di cabang ini adalah sebagai berikut:

- Offline: 46.7%
- GoFood: 23.7%
- GrabFood: 19.5%
- ShopeeFood: 10.0%

Sumber informasi: sop_order.txt",2,True,2,0.8384671211242676,1.0,0.23529411764705882,4.0,17.0,4.0,,fact_grounding,0.0,,3
Menu apa yang penjualannya paling rendah?,,order,order,0.4379550864154877,True,0.0023429393768310547,order,1,2.9991581439971924,Order,"Berdasarkan data aktual yang tersedia, menu dengan penjualan paling rendah adalah Ayam Bakar Madu Savoria dengan 4707 porsi terjual.

Sumber informasi: sop_order.txt.",2,True,2,0.8501414954662323,1.0,0.1875,3.0,16.0,3.0,,fact_grounding,0.0,,3
